id,tên,loại,thành phần,option,option_json,canonical_description,structured_tags,health_profile,context_suitability,
382,Bánh căn tôm đồng,đồ ăn,"Bột gạo, Tôm đồng, Hành lá",Hành lá (Nhiều/Ít/Không),"{""hành_lá"": [""nhiều"", ""ít"", ""không""]}","Bánh căn tôm đồng thanh nhẹ, giàu đạm, ít dầu. Không phù hợp người dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory"",""light""],""ingredients"":[""bột gạo"",""tôm đồng"",""hành lá""],""options"":[""hành lá (Nhiều/Ít/Không)""],""suitable_for"":[""high_protein"",""light_meal""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""high_protein"",""light_meal""],""bad_for"":[""seafood_allergy""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":true}",
383,Chè thạch lá nếp,đồ ăn,"Thạch lá nếp, Nước cốt dừa, Đường","Nước cốt dừa (Nhiều/Ít/Không), Đường (Nhiều/Ít)","{""nước_cốt_dừa"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""]}","Chè thạch lá nếp ngọt mát, thơm nhẹ. Không phù hợp người tiểu đường hoặc béo phì.","{""type"":""đồ ăn"",""taste"":[""sweet"",""refreshing""],""ingredients"":[""thạch lá nếp"",""nước cốt dừa"",""đường""],""options"":[""nước cốt dừa (Nhiều/Ít/Không)"",""đường (Nhiều/Ít)""],""suitable_for"":[""light_dessert""],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[""light_dessert""],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":false}",
384,Sinh tố dừa sáp,thức uống,"Dừa sáp, Sữa tươi, Mật ong","Sữa tươi (Nhiều/Ít/Không), Mật ong (Nhiều/Ít)","{""sữa_tươi"": [""nhiều"", ""ít"", ""không""], ""mật_ong"": [""nhiều"", ""ít""]}","Sinh tố dừa sáp béo, đặc và nhiều năng lượng. Không phù hợp người béo phì hoặc tiểu đường.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty""],""ingredients"":[""dừa sáp"",""sữa tươi"",""mật ong""],""options"":[""sữa tươi (Nhiều/Ít/Không)"",""mật ong (Nhiều/Ít)""],""suitable_for"":[""need_energy""],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[""need_energy""],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":false}",
385,Trà hoa cúc mật ong gừng,thức uống,"Hoa cúc, Mật ong, Gừng","Mật ong (Nhiều/Ít), Gừng (Nhiều/Ít/Không)","{""mật_ong"": [""nhiều"", ""ít""], ""gừng"": [""nhiều"", ""ít"", ""không""]}","Trà hoa cúc mật ong gừng ấm nhẹ, tốt cho tiêu hóa và thư giãn. Không phù hợp người tiểu đường nếu dùng nhiều mật ong.","{""type"":""thức uống"",""taste"":[""light"",""warm"",""sweet""],""ingredients"":[""hoa cúc"",""mật ong"",""gừng""],""options"":[""mật ong (Nhiều/Ít)"",""gừng (Nhiều/Ít/Không)""],""suitable_for"":[""need_relax"",""poor_digestive_system"",""mild_cold""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_relax"",""poor_digestive_system"",""mild_cold""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
386,Chè khoai lang vàng,đồ ăn,"Khoai lang vàng, Nước cốt dừa, Đường","Nước cốt dừa (Nhiều/Ít/Không), Đường (Nhiều/Ít)","{""nước_cốt_dừa"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""]}","Chè khoai lang vàng ngọt, bùi và no lâu. Không phù hợp người tiểu đường hoặc béo phì.","{""type"":""đồ ăn"",""taste"":[""sweet"",""creamy""],""ingredients"":[""khoai lang vàng"",""nước cốt dừa"",""đường""],""options"":[""nước cốt dừa (Nhiều/Ít/Không)"",""đường (Nhiều/Ít)""],""suitable_for"":[""need_energy""],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[""need_energy""],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
387,Bánh tráng nướng mắm nêm,đồ ăn,"Bánh tráng, Mắm nêm, Trứng cút","Mắm nêm (Nhiều/Ít), Trứng cút (Nhiều/Ít/Không)","{""mắm_nêm"": [""nhiều"", ""ít""], ""trứng_cút"": [""nhiều"", ""ít"", ""không""]}","Bánh tráng nướng mắm nêm thơm mạnh, đậm vị. Không phù hợp người dạ dày yếu hoặc cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""salty"",""savory""],""ingredients"":[""bánh tráng"",""mắm nêm"",""trứng cút""],""options"":[""mắm nêm (Nhiều/Ít)"",""trứng cút (Nhiều/Ít/Không)""],""suitable_for"":[""snack_time""],""avoid_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""good_for"":[""snack_time""],""bad_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":true,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
388,Bánh căn tôm tép,đồ ăn,"Bột gạo, Tôm tép, Hành phi","Tôm tép (Nhiều/Ít), Hành phi (Nhiều/Ít/Không)","{""tôm_tép"": [""nhiều"", ""ít""], ""hành_phi"": [""nhiều"", ""ít"", ""không""]}","Bánh căn tôm tép thanh nhẹ, thơm và ít dầu. Không phù hợp người dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory"",""light""],""ingredients"":[""bột gạo"",""tôm tép"",""hành phi""],""options"":[""tôm tép (Nhiều/Ít)"",""hành phi (Nhiều/Ít/Không)""],""suitable_for"":[""light_meal"",""high_protein""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""light_meal"",""high_protein""],""bad_for"":[""seafood_allergy""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":true}",
389,Chè đậu đỏ hạt chia,đồ ăn,"Đậu đỏ, Hạt chia, Nước cốt dừa, Đường","Hạt chia (Nhiều/Ít/Không), Nước cốt dừa (Nhiều/Ít), Đường (Nhiều/Ít)","{""hạt_chia"": [""nhiều"", ""ít"", ""không""], ""nước_cốt_dừa"": [""nhiều"", ""ít""], ""đường"": [""nhiều"", ""ít""]}","Chè đậu đỏ hạt chia mát, bổ máu nhưng giàu đường. Không phù hợp người tiểu đường.","{""type"":""đồ ăn"",""taste"":[""sweet"",""refreshing""],""ingredients"":[""đậu đỏ"",""hạt chia"",""nước cốt dừa"",""đường""],""options"":[""hạt chia (Nhiều/Ít/Không)"",""nước cốt dừa (Nhiều/Ít)"",""đường (Nhiều/Ít)""],""suitable_for"":[""anemia""],""avoid_for"":[""diabetes"",""obesity""]}","{""good_for"":[""anemia""],""bad_for"":[""diabetes"",""obesity""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
390,Sinh tố quả việt quất,thức uống,"Việt quất, Sữa chua, Mật ong","Sữa chua (Nhiều/Ít/Không), Mật ong (Nhiều/Ít)","{""sữa_chua"": [""nhiều"", ""ít"", ""không""], ""mật_ong"": [""nhiều"", ""ít""]}","Sinh tố việt quất giàu chất chống oxy hóa, tốt cho da và miễn dịch. Không phù hợp người tiểu đường nếu dùng nhiều mật ong.","{""type"":""thức uống"",""taste"":[""sweet"",""tart"",""refreshing""],""ingredients"":[""việt quất"",""sữa chua"",""mật ong""],""options"":[""sữa chua (Nhiều/Ít/Không)"",""mật ong (Nhiều/Ít)""],""suitable_for"":[""skin_health"",""immune_boost""],""avoid_for"":[""diabetes""]}","{""good_for"":[""skin_health"",""immune_boost""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
391,Trà hoa hồng gừng,thức uống,"Hoa hồng, Gừng, Mật ong","Gừng (Nhiều/Ít/Không), Mật ong (Nhiều/Ít/Không)","{""gừng"": [""nhiều"", ""ít"", ""không""], ""mật_ong"": [""nhiều"", ""ít"", ""không""]}","Trà hoa hồng gừng thơm nhẹ, ấm, giúp thư giãn và làm ấm bụng. Không phù hợp người tiểu đường nếu thêm nhiều mật ong.","{""type"":""thức uống"",""taste"":[""light"",""warm"",""floral""],""ingredients"":[""hoa hồng"",""gừng"",""mật ong""],""options"":[""gừng (Nhiều/Ít/Không)"",""mật ong (Nhiều/Ít/Không)""],""suitable_for"":[""need_relax"",""poor_digestive_system"",""mild_cold""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_relax"",""poor_digestive_system"",""mild_cold""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
392,Chè bưởi da xanh hạt sen,đồ ăn,"Bưởi da xanh, Hạt sen, Nước cốt dừa","Hạt sen (Nhiều/Ít/Không), Nước cốt dừa (Nhiều/Ít)","{""hạt_sen"": [""nhiều"", ""ít"", ""không""], ""nước_cốt_dừa"": [""nhiều"", ""ít""]}","Chè bưởi da xanh hạt sen thanh nhẹ, thơm và dễ tiêu. Không phù hợp người tiểu đường.","{""type"":""đồ ăn"",""taste"":[""sweet"",""light""],""ingredients"":[""bưởi da xanh"",""hạt sen"",""nước cốt dừa""],""options"":[""hạt sen (Nhiều/Ít/Không)"",""nước cốt dừa (Nhiều/Ít)""],""suitable_for"":[""need_relax"",""weak_stomach""],""avoid_for"":[""diabetes"",""obesity""]}","{""good_for"":[""need_relax"",""weak_stomach""],""bad_for"":[""diabetes"",""obesity""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":false}",
393,Bánh tráng nướng mắm ruốc,đồ ăn,"Bánh tráng, mắm Ruốc, Trứng, Hành","mắm Ruốc (Nhiều/Ít), Trứng (Nhiều/Ít/Không), Hành (Nhiều/Ít/Không)","{""mắm_ruốc"": [""nhiều"", ""ít""], ""trứng"": [""nhiều"", ""ít"", ""không""], ""hành"": [""nhiều"", ""ít"", ""không""]}","Bánh tráng nướng mắm ruốc đậm vị, thơm mạnh. Không phù hợp người dạ dày yếu hoặc cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""salty"",""savory""],""ingredients"":[""bánh tráng"",""mắm ruốc"",""trứng"",""hành""],""options"":[""mắm Ruốc (Nhiều/Ít)"",""trứng (Nhiều/Ít/Không)"",""hành (Nhiều/Ít/Không)""],""suitable_for"":[""snack_time""],""avoid_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""good_for"":[""snack_time""],""bad_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":true,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
394,Nước ép súp lơ xanh,thức uống,"Súp lơ xanh, Táo, Chanh, Gừng","Táo (Nhiều/Ít/Không), Chanh (Nhiều/Ít/Không), Gừng (Nhiều/Ít/Không)","{""táo"": [""nhiều"", ""ít"", ""không""], ""chanh"": [""nhiều"", ""ít"", ""không""], ""gừng"": [""nhiều"", ""ít"", ""không""]}","Nước ép súp lơ xanh detox tốt, vị thanh và hơi chua. Không phù hợp người đau dạ dày.","{""type"":""thức uống"",""taste"":[""fresh"",""sour"",""light""],""ingredients"":[""súp lơ xanh"",""táo"",""chanh"",""gừng""],""options"":[""táo (Nhiều/Ít/Không)"",""chanh (Nhiều/Ít/Không)"",""gừng (Nhiều/Ít/Không)""],""suitable_for"":[""detox"",""vitamin_boost""],""avoid_for"":[""gastritis"",""weak_stomach""]}","{""good_for"":[""detox"",""vitamin_boost""],""bad_for"":[""gastritis"",""weak_stomach""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
395,Bánh căn tôm rang,đồ ăn,"Bột gạo, Tôm rang, Hành lá",Hành lá (Nhiều/Ít/Không),"{""hành_lá"": [""nhiều"", ""ít"", ""không""]}","Bánh căn tôm rang thơm nhẹ, ít dầu. Không phù hợp người dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory"",""light""],""ingredients"":[""bột gạo"",""tôm rang"",""hành lá""],""options"":[""hành lá (Nhiều/Ít/Không)""],""suitable_for"":[""light_meal"",""high_protein""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""light_meal"",""high_protein""],""bad_for"":[""seafood_allergy""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":true}",
396,Trà lá vối,thức uống,"Lá vối, Mật ong, Chanh","Mật ong (Nhiều/Ít/Không), Chanh (Nhiều/Ít/Không)","{""mật_ong"": [""nhiều"", ""ít"", ""không""], ""chanh"": [""nhiều"", ""ít"", ""không""]}","Trà lá vối thanh mát, hỗ trợ tiêu hóa và giải nhiệt. Không phù hợp người tiểu đường nếu dùng nhiều mật ong.","{""type"":""thức uống"",""taste"":[""light"",""fresh""],""ingredients"":[""lá vối"",""mật ong"",""chanh""],""options"":[""mật ong (Nhiều/Ít/Không)"",""chanh (Nhiều/Ít/Không)""],""suitable_for"":[""poor_digestive_system"",""hot_weather""],""avoid_for"":[""diabetes""]}","{""good_for"":[""poor_digestive_system"",""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
397,Chè khoai môn bạc hà,đồ ăn,"khoai môn, bạc hà, nước cốt dừa, đá","nước cốt dừa (nhiều/ít/không), đá (nhiều/ít/không), đường (nhiều/ít)","{""nước_cốt_dừa"": [""nhiều"", ""ít"", ""không""], ""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""]}","Chè khoai môn bạc hà béo nhẹ, mát và thơm. Không phù hợp người tiểu đường hoặc gan nhiễm mỡ.","{""type"":""đồ ăn"",""taste"":[""sweet"",""cool"",""creamy""],""ingredients"":[""khoai môn"",""bạc hà"",""nước cốt dừa"",""đá""],""options"":[""nước cốt dừa (nhiều/ít/không)"",""đá (nhiều/ít/không)"",""đường (nhiều/ít)""],""suitable_for"":[""hot_weather"",""need_relax""],""avoid_for"":[""diabetes"",""fatty_liver"",""obesity""]}","{""good_for"":[""hot_weather"",""need_relax""],""bad_for"":[""diabetes"",""fatty_liver"",""obesity""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
398,bánh tráng cuốn nem nướng,đồ ăn,"bánh tráng, nem nướng, rau, đồ chua","rau (nhiều/ít/không), nước chấm (cay/không cay)","{""rau"": [""nhiều"", ""ít"", ""không""], ""nước_chấm"": [""cay"", ""không cay""]}",Bánh tráng cuốn nem nướng thanh nhẹ nhưng đậm vị. Không phù hợp người dạ dày yếu nếu nước chấm quá cay.,"{""type"":""đồ ăn"",""taste"":[""savory"",""fresh""],""ingredients"":[""bánh tráng"",""nem nướng"",""rau"",""đồ chua""],""options"":[""rau (nhiều/ít/không)"",""nước chấm (cay/không cay)""],""suitable_for"":[""light_meal""],""avoid_for"":[""gastritis"",""weak_stomach""]}","{""good_for"":[""light_meal""],""bad_for"":[""gastritis"",""weak_stomach""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":false}",
399,nước ép rau củ cải,thức uống,rau củ cải ép,"đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Nước ép rau củ cải thanh lọc, giàu vitamin, tốt cho gan. Không phù hợp người dạ dày yếu nếu uống quá lạnh.","{""type"":""thức uống"",""taste"":[""fresh"",""earthy"",""light""],""ingredients"":[""rau củ cải ép""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""detox"",""liver_support""],""avoid_for"":[""weak_stomach"",""gastritis""]}","{""good_for"":[""detox"",""liver_support""],""bad_for"":[""weak_stomach"",""gastritis""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
400,chè đậu ngự hạt sen,đồ ăn,"đậu ngự, hạt sen, nước cốt dừa, đá","nước cốt dừa (nhiều/ít/không), đá (nhiều/ít/không), đường (nhiều/ít)","{""nước_cốt_dừa"": [""nhiều"", ""ít"", ""không""], ""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""]}","Chè đậu ngự hạt sen là món ngọt thanh, béo nhẹ, giúp an thần và hỗ trợ giấc ngủ. Phù hợp người mất ngủ; không phù hợp người tiểu đường.","{""type"":""đồ ăn"",""taste"":[""sweet""],""ingredients"":[""đậu ngự"",""hạt sen"",""nước cốt dừa"",""đá""],""options"":[""nước cốt dừa (nhiều/ít/không)"",""đá (nhiều/ít/không)"",""đường (nhiều/ít)""],""suitable_for"":[""insomnia""],""avoid_for"":[""diabetes"",""obesity""]}","{""good_for"":[""insomnia""],""bad_for"":[""diabetes"",""obesity""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":true,""sunny_strong"":false,""want_cold_food"":true,""light_meal"":true,""in_a_hurry"":true}",
401,sinh tố dưa gang,thức uống,"dưa gang, sữa, đường, đá","đá (nhiều/ít/không), sữa (nhiều/ít), đường (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""sữa"": [""nhiều"", ""ít""], ""đường"": [""nhiều"", ""ít""]}","Sinh tố dưa gang là thức uống ngọt, mát và dễ uống. Phù hợp người nóng trong người; không phù hợp người tiểu đường.","{""type"":""thức uống"",""taste"":[""sweet""],""ingredients"":[""dưa gang"",""sữa"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""sữa (nhiều/ít)"",""đường (nhiều/ít)""],""suitable_for"":[""body_heat""],""avoid_for"":[""diabetes""]}","{""good_for"":[""body_heat""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":true,""sunny_strong"":true,""want_cold_food"":true,""in_a_hurry"":true}",
402,trà hoa lavender mật ong,thức uống,"trà lavender, mật ong, đá","đá (nhiều/ít/không), mật ong (nhiều/ít), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""mật_ong"": [""nhiều"", ""ít""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà hoa lavender mật ong là thức uống thư giãn, giúp giảm căng thẳng và dễ ngủ. Phù hợp người mất ngủ hoặc stress; không phù hợp người tiểu đường.","{""type"":""thức uống"",""taste"":[""sweet"",""floral""],""ingredients"":[""trà lavender"",""mật ong"",""đá""],""options"":[""đá (nhiều/ít/không)"",""mật ong (nhiều/ít)"",""đường (nhiều/ít/không)""],""suitable_for"":[""insomnia"",""stress_relief""],""avoid_for"":[""diabetes""]}","{""good_for"":[""insomnia"",""stress_relief""],""bad_for"":[""diabetes""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""rainy"":true,""need_relax"":true,""want_cold_food"":true}",
403,chè bí đỏ thạch,đồ ăn,"bí đỏ, thạch, nước cốt dừa, đá","nước cốt dừa (nhiều/ít/không), đá (nhiều/ít/không), đường (nhiều/ít)","{""nước_cốt_dừa"": [""nhiều"", ""ít"", ""không""], ""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""]}","Chè bí đỏ thạch là món ngọt thanh, giàu vitamin A và dễ tiêu. Phù hợp người hệ tiêu hóa kém; không phù hợp người tiểu đường.","{""type"":""đồ ăn"",""taste"":[""sweet""],""ingredients"":[""bí đỏ"",""thạch"",""nước cốt dừa"",""đá""],""options"":[""nước cốt dừa (nhiều/ít/không)"",""đá (nhiều/ít/không)"",""đường (nhiều/ít)""],""suitable_for"":[""poor_digestive_system""],""avoid_for"":[""diabetes""]}","{""good_for"":[""poor_digestive_system""],""bad_for"":[""diabetes""]}","{""morning"":false,""noon"":true,""evening"":true,""hot_weather"":true,""want_cold_food"":true,""light_meal"":true}",
404,nước ép cải thìa,thức uống,cải thìa ép,"đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Nước ép cải thìa là thức uống thanh mát, hỗ trợ giải nhiệt và giàu khoáng. Phù hợp người nóng trong người và thiếu máu nhẹ.","{""type"":""thức uống"",""taste"":[""fresh"",""slightly_bitter""],""ingredients"":[""cải thìa ép""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""body_heat"",""anemia""],""avoid_for"":[]}","{""good_for"":[""body_heat"",""anemia""],""bad_for"":[]}","{""morning"":true,""noon"":true,""evening"":true,""hot_weather"":true,""want_cold_food"":true,""light_meal"":true,""in_a_hurry"":true}",
405,chè đậu xanh bạc hà,đồ ăn,"đậu xanh, bạc hà, nước cốt dừa, đá","nước cốt dừa (nhiều/ít/không), đá (nhiều/ít/không), đường (nhiều/ít)","{""nước_cốt_dừa"": [""nhiều"", ""ít"", ""không""], ""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""]}","Chè đậu xanh bạc hà là món ngọt mát, hỗ trợ tiêu hóa và thanh nhiệt. Phù hợp người nóng trong người; không phù hợp người tiểu đường.","{""type"":""đồ ăn"",""taste"":[""sweet"",""minty""],""ingredients"":[""đậu xanh"",""bạc hà"",""nước cốt dừa"",""đá""],""options"":[""nước cốt dừa (nhiều/ít/không)"",""đá (nhiều/ít/không)"",""đường (nhiều/ít)""],""suitable_for"":[""body_heat"",""poor_digestive_system""],""avoid_for"":[""diabetes""]}","{""good_for"":[""body_heat"",""poor_digestive_system""],""bad_for"":[""diabetes""]}","{""morning"":false,""noon"":true,""evening"":true,""hot_weather"":true,""want_cold_food"":true}",
